z_transition,width,fractional_H_step,replicates,compressed_post_signal_snr,compressed_pre_signal_snr,point_sample_signal_snr,compression_attenuation,post_to_pre_snr_ratio,global_3sigma_detection_fraction,detected_and_located_fraction,location_success_given_detection,median_recovered_z,median_recovered_width,median_recovered_fractional_H_step
1.484,0.005,0.01,1000,0.14608983554085922,0.14608983554085922,0.13904953046296206,1.0506316350329026,1.0,0.001,0.0,0.0,0.5,0.005,0.11570037646947982
1.484,0.005,0.02,1000,0.26457606546897683,0.26457606546897683,0.27630668568821226,0.957544928056962,1.0,0.002,0.001,0.5,1.55,0.0775,0.3363430931747893
1.484,0.005,0.05,1000,0.6436975168601503,0.6356605510268705,0.6777450757514772,0.949763472860979,1.012643486874082,0.004,0.001,0.25,1.15,0.005,0.16871261803326087
1.484,0.005,0.1,1000,1.2574849844416252,1.201323035642173,1.3146694509315355,0.9565027798817481,1.0467500806470682,0.011,0.007,0.6363636363636364,1.5,0.005,0.29962031150862056
1.484,0.005,0.2,1000,2.248546176907013,4.491288693495625,2.4826493632137736,0.9057042892260406,0.500646101900197,0.103,0.047,0.4563106796116505,1.6,0.15,0.3476615924648615
1.484,0.03,0.005,1000,0.07353994411240683,0.07353994411240683,0.07004687216810086,1.0498676362867878,1.0,0.002,0.0,0.0,1.15,0.017499999999999998,0.25881274172537505
1.484,0.03,0.01,1000,0.14608983554085922,0.14608983554085922,0.13964642487209178,1.0461408924336533,1.0,0.003,0.0,0.0,0.95,0.005,-0.10884794659257804
1.484,0.03,0.02,1000,0.26457606546897683,0.26457606546897683,0.2775248262593689,0.9533419731671485,1.0,0.004,0.0,0.0,0.6,0.0775,-0.006157165323718329
1.484,0.03,0.05,1000,0.6587043964460865,0.62869507579231,0.6809594261547808,0.967318126669656,1.047732711467411,0.002,0.0,0.0,0.75,0.005,0.09602829761328424
1.484,0.03,0.1,1000,1.2381423708745258,1.2154667311394165,1.3215807711674084,0.9368646986145404,1.01865591147349,0.017,0.011,0.6470588235294118,1.5,0.005,0.3047258759263911
1.484,0.03,0.2,1000,2.256133666020726,4.5409561226224975,2.4979211792405374,0.9032045065195676,0.4968411068279077,0.087,0.05,0.5747126436781609,1.55,0.005,0.33994651881204896
1.484,0.15,0.005,1000,0.07276189494815404,0.07276189494815404,0.06051212092000255,1.20243504676271,1.0,0.005,0.0,0.0,0.7,0.15,-0.12049099036550967
1.484,0.15,0.01,1000,0.14412784979550394,0.14412784979550394,0.12066579065213633,1.1944383658082982,1.0,0.005,0.0,0.0,0.9,0.005,-0.11976615125482885
1.484,0.15,0.02,1000,0.2773207028250676,0.2773207028250676,0.23991446467235306,1.15591489326748,1.0,0.001,0.0,0.0,0.55,0.005,-0.09473400294096153
1.484,0.15,0.05,1000,0.6591633573567732,0.6525939846094965,0.5894781437419584,1.1182150930524055,1.0100665542469072,0.003,0.003,1.0,1.55,0.005,0.3375547494773238
1.484,0.15,0.1,1000,1.2402586448793838,1.2270856399751429,1.146569236048166,1.081712822815771,1.0107351960410096,0.027,0.022,0.8148148148148148,1.45,0.15,0.26597142405749336
1.484,0.15,0.2,1000,2.4238226961225378,4.7833449615599575,2.1763444631487254,1.1137128047348543,0.5067212830353917,0.123,0.116,0.943089430894309,1.45,0.15,0.2635080184907234
